00001	Hi.	嗨。
00002	Run.	你用跑的。
00003	Who?	谁？
00004	Fire!	火！
00005	Stay.	待着。
00006	Stop!	住手！
00007	Wait!	等等！
00008	Begin.	开始！
00009	Fight.	开打。
00010	Hello!	你好。
00011	I try.	我试试。
00012	I won!	我赢了。
00013	Oh no!	不会吧。
00014	Cheers!	干杯!
00015	Exhale.	呼气。
00016	Got it?	知道了没有？
00017	He ran.	他跑了。
00018	Hop in.	跳进来。
00019	I know.	我知道。
00020	I quit.	我退出。
00021	I'm OK.	我没事。
00022	I'm up.	我已经起来了。
00023	Listen.	听着。
00024	No way!	不可能！
00025	Really?	真的？
00026	Thanks!	谢谢！
00027	Try it.	试试吧。
00028	We try.	我们来试试。
00029	Why me?	为什幺是我？
00030	Ask Tom.	去问汤姆。
00031	Awesome!	好棒！
00032	Be calm.	冷静点。
00033	Be fair.	公平点。
00034	Be kind.	友善点。
00035	Be nice.	和气点。
00036	Call me.	联系我。
00037	Call us.	联系我们。
00038	Come in.	进来。
00039	Get Tom.	找到汤姆。
00040	Get out!	滚出去！
00041	Go away!	走开！
00042	Go home.	回家。
00043	Goodbye!	再见！
00044	Hang on!	坚持。
00045	He came.	他来了。
00046	He runs.	他跑。
00047	Help me.	帮我一下。
00048	Help us.	帮帮我们吧！
00049	Hit Tom.	去打汤姆。
00050	Hold on.	坚持。
00051	Hug Tom.	抱抱汤姆！
00052	I agree.	我同意。
00053	I'm hot.	我觉得很热。
00054	I'm ill.	我生病了。
00055	I'm sad.	我很难过。
00056	I'm shy.	我很害羞。
00057	I'm wet.	我湿了。
00058	It's OK.	没关系。
00059	It's me.	是我。
00060	Join us.	来加入我们吧。
00061	Keep it.	留着吧。
00062	Kiss me.	吻我。
00063	Move on.	继续前进。
00064	Oh dear!	哎！
00065	Perfect!	完美！
00066	See you.	再见！
00067	Shut up!	闭嘴！
00068	Skip it.	不管它。
00069	Take it.	拿走吧。
00070	Tell me.	告诉我！
00071	Tom won.	汤姆胜利了。
00072	Wake up!	醒醒！
00073	Wash up.	去清洗一下。
00074	We know.	我们知道。
00075	Welcome.	欢迎。
00076	Who won?	谁赢了？
00077	Why not?	为什幺不？
00078	You run.	你跑。
00079	You win.	算你狠。
00080	Back off!	往后退点。
00081	Be still.	静静的，别动。
00082	Beats me.	我一无所知。
00083	Cuff him.	把他铐上。
00084	Dress up.	穿上衣服。
00085	Drive on.	往前开。
00086	Get away!	走开！
00087	Get down!	趴下！
00088	Get lost!	滚！
00089	Get real.	醒醒吧。
00090	Good job!	做得好！
00091	Grab Tom.	抓住汤姆。
